x,y,z
58.66446304,19.52639389,91.98594666
62.28174591,88.2289505,79.17893982
56.10219955,24.34310722,20.96314621
71.73377228,7.63474846,97.31720734
78.22760773,98.08695984,35.45806122
10.80087376,25.3958931,1.64040875
1.61632931,51.66971588,43.19989395
14.77604961,67.99890137,23.287714
20.27029037,64.6190567,20.3584404
27.93898392,80.97650909,52.54299927
30.99156761,35.4332428,42.33499146
34.11737442,76.88270569,18.29228592
45.84999847,99.96972656,95.92946625
40.45679855,95.95121765,32.046978
47.33837128,44.83164978,23.61358452
40.84061432,94.313797,58.10577393
48.6638031,58.62497711,17.66374779
54.62017441,44.86567307,14.49997234
74.28343201,40.49417877,22.80940819
75.97750854,80.08115387,83.85943604
94.77574921,60.37846375,7.1454711
94.23402405,65.0568924,93.58958435
1.0530417,51.16543961,23.53860092
9.45812225,71.36032867,33.03217697
7.87656689,47.49207306,56.69755554
0.5269199,7.850564,8.22354794
11.00075436,14.05979252,66.65854645
11.00665474,26.24478149,55.35322952
21.27181053,96.19233704,41.87194443
25.70644379,71.45892334,27.49255562
46.66638184,45.64946747,17.20163918
78.13670349,65.42354584,22.40862846
82.17750549,89.55302429,30.24978447
83.51085663,92.23646545,64.75054169
78.85531616,28.90380096,19.47183037
7.34509277,63.52402115,3.2460916
9.4484787,62.5343399,15.36136913
1.61601543,53.3196907,91.99477386
8.8805418,84.08724213,55.65119553
14.55096531,99.6620636,28.01484489
8.99691677,44.0201683,46.27443695
9.70489979,1.38419497,37.55965805
14.03580379,69.14582062,9.99993992
23.7076683,95.59269714,57.88703918
24.32949448,83.79262543,70.17771149
41.77786636,9.44970608,92.1317749
42.28866196,80.60082245,98.32041931
33.83537292,87.84375763,17.44753075
36.72797394,91.13686371,95.70056152
47.65934372,29.26447678,46.34658051
42.95523834,93.60264587,41.0119133
59.72566223,75.55979919,88.84710693
60.08296204,80.7607193,28.1012249
57.02016068,49.77898026,2.43011665
75.7804718,16.81152344,83.09829712
79.12630463,20.23376656,22.27511406
86.20368958,88.38330841,29.511446
51.87565231,41.08053207,4.49883652
6.83274508,89.7040863,78.25167847
2.2064302,12.36804676,35.80368805
2.29213166,40.1478157,69.18117523
13.99245453,33.99084091,4.65354776
27.53759956,70.30113983,15.68905163
